Year,Month,Day,Temp high,Temp avg,Temp low,Dew Point high,Dew Point avg,Dew Point low,Humidity high,Humidity avg,Humidity low,Pressure high,Pressure avg,Pressure low,Visibility high,Visibility avg,Visibility low,Wind high,Wind avg,Wind high,Precip. (mm),Events
2010,1,20,15,13,11,11,9,7,89,80,71,1007,1002,998,16,10,1,19,8,39,30.48,Rain
2010,1,21,14,12,10,11,9,6,89,78,66,998,988,984,16,10,3,26,9,53,24.64,Rain
2010,1,22,12,10,8,8,7,6,86,82,77,1008,1000,992,16,12,3,11,2,23,9.4,Rain
2010,1,23,16,11,6,7,5,2,89,66,43,1022,1016,1008,16,15,8,11,1,19,0,
2010,1,24,18,12,6,8,5,1,89,63,36,1024,1022,1020,16,16,16,13,1,19,0,
2010,1,25,19,14,8,9,6,1,82,56,29,1019,1017,1014,16,16,16,13,2,26,0,
2010,1,26,16,12,8,9,7,5,80,67,53,1015,1013,1011,16,15,6,14,3,24,5.08,Rain
2010,1,27,21,17,12,11,8,5,83,60,37,1014,1012,1011,16,16,16,13,1,21,0,
2010,1,28,22,16,10,11,7,2,77,53,28,1018,1015,1014,16,16,16,11,1,19,0,
2010,1,29,20,15,10,11,7,4,89,63,37,1018,1017,1016,16,14,6,13,1,21,0,
2010,1,30,18,13,9,10,9,7,89,73,56,1016,1015,1013,16,12,8,13,1,21,0,
2010,1,31,19,14,8,9,8,6,86,65,44,1015,1014,1012,16,12,6,11,1,19,0,
2010,2,1,20,15,10,11,8,6,83,63,42,1015,1013,1011,14,10,5,11,1,16,0,
2010,2,2,19,16,12,11,10,7,89,71,52,1012,1010,1008,16,7,3,11,2,23,0,
2010,2,3,21,16,9,12,9,6,89,64,39,1011,1009,1006,16,13,10,11,1,23,0,
2010,2,4,18,16,13,11,9,8,80,68,56,1017,1014,1011,16,14,10,13,5,23,0,
2010,2,5,14,13,12,11,11,9,89,81,72,1019,1017,1016,16,6,2,21,11,32,23.88,Rain
2010,2,6,17,14,11,13,12,8,93,79,64,1015,1013,1011,16,9,1,14,4,34,48.51,"Fog , Rain"
2010,2,7,18,13,7,8,5,1,93,64,34,1014,1012,1011,16,16,14,13,1,21,0,
2010,2,8,18,14,9,9,7,5,83,67,51,1016,1015,1013,16,16,2,11,1,19,0,
2010,2,9,15,11,7,11,8,4,86,76,66,1016,1014,1012,16,12,1,16,3,35,11.18,Rain
2010,2,10,18,12,4,8,5,2,86,63,39,1019,1015,1013,16,16,16,11,1,16,0,
2010,2,11,18,14,10,10,7,4,83,68,52,1022,1021,1019,16,16,13,14,2,21,0,
2010,2,12,19,15,10,11,9,8,89,69,48,1022,1021,1018,16,11,6,13,1,19,0,
2010,2,13,24,17,9,11,8,4,86,59,31,1019,1017,1015,16,15,8,13,0,19,0,
2010,2,14,27,19,11,10,6,1,83,52,20,1017,1016,1015,16,16,16,13,2,19,0,
2010,2,15,28,21,14,9,4,-1,64,40,16,1016,1014,1013,16,16,16,10,1,16,0,
2010,2,16,29,22,14,8,4,-2,67,41,14,1016,1014,1013,16,16,16,11,2,19,0,
2010,2,17,27,20,13,12,7,1,78,49,19,1015,1014,1012,16,15,10,13,2,21,0,
2010,2,18,21,17,13,12,11,10,93,73,53,1015,1013,1012,10,6,0,11,1,16,0,Fog
2010,2,19,18,15,12,10,8,7,77,65,52,1015,1013,1012,16,15,5,14,3,23,2.29,Rain
2010,2,20,18,14,11,11,9,6,83,67,51,1014,1012,1010,16,16,16,14,2,24,1.27,
2010,2,21,18,16,12,12,10,7,83,68,52,1016,1015,1014,16,14,3,21,5,34,0.76,Rain
2010,2,22,21,16,11,12,4,-8,93,54,14,1021,1016,1014,16,16,10,19,4,29,T,Rain
2010,2,23,21,14,8,6,-1,-7,57,37,16,1024,1023,1022,16,16,16,14,2,21,0,
2010,2,24,19,16,12,11,8,0,86,58,30,1023,1021,1019,16,11,3,11,2,19,0.25,Rain
2010,2,25,21,17,12,11,11,9,93,71,49,1021,1020,1019,16,12,5,13,2,23,0,
2010,2,26,24,19,13,12,9,3,83,55,27,1020,1017,1013,16,16,14,14,3,23,0,
2010,2,27,17,14,11,13,11,7,86,73,60,1012,1007,1004,16,11,1,19,5,35,20.32,Rain
2010,2,28,20,14,8,10,8,6,86,66,45,1018,1013,1007,16,16,16,13,2,19,0,
2010,3,1,22,17,11,11,10,8,83,64,44,1020,1018,1017,16,16,16,19,2,26,0,
2010,3,2,19,17,13,11,10,7,86,66,45,1018,1017,1016,16,16,16,14,2,23,0,
2010,3,3,19,16,12,11,9,4,83,63,43,1017,1016,1015,16,15,5,16,3,32,1.52,Rain
2010,3,4,18,14,9,8,6,3,86,63,39,1017,1016,1015,16,16,16,13,2,24,T,Rain
2010,3,5,20,15,9,8,6,2,72,52,32,1017,1015,1012,16,16,14,14,3,26,0,
2010,3,6,17,14,11,11,8,7,89,71,52,1012,1010,1008,16,13,2,16,3,27,10.67,Rain
2010,3,7,19,14,10,11,8,6,77,63,48,1014,1010,1008,16,16,16,13,2,23,T,Rain
2010,3,8,19,16,12,10,9,7,77,67,56,1019,1017,1014,16,16,11,13,3,24,0,
2010,3,9,17,13,9,7,-1,-4,71,49,27,1018,1016,1015,16,16,16,23,7,47,0,
2010,3,10,18,14,10,7,-1,-4,55,41,27,1017,1015,1013,16,15,2,21,7,35,0,
2010,3,11,20,14,8,6,1,-1,61,44,26,1022,1020,1018,16,16,16,16,2,27,0,
2010,3,12,22,16,9,8,4,-1,72,49,26,1021,1019,1017,16,16,16,16,2,26,0,
2010,3,13,19,15,11,9,8,7,77,65,52,1017,1015,1013,16,16,13,11,1,23,0,
2010,3,14,22,16,9,8,5,-1,80,52,24,1019,1017,1015,16,16,16,13,1,21,0,
2010,3,15,28,19,9,6,1,-4,66,40,13,1023,1021,1019,16,16,13,13,2,21,0,
2010,3,16,31,23,14,4,2,-1,46,30,13,1023,1021,1019,16,16,16,19,4,29,0,
2010,3,17,31,23,16,5,2,-3,46,29,11,1019,1015,1012,16,16,16,16,3,26,0,
2010,3,18,26,21,15,13,10,6,78,58,38,1013,1012,1010,16,15,11,13,3,21,0,
2010,3,19,23,18,13,11,11,8,83,62,41,1018,1015,1013,16,14,8,13,1,24,0,
2010,3,20,27,20,12,11,9,6,86,56,26,1022,1020,1018,16,13,6,11,2,19,0,
2010,3,21,27,19,11,11,10,7,93,62,30,1022,1020,1017,16,8,1,11,1,19,0,
2010,3,22,22,17,12,11,9,8,83,62,41,1017,1015,1012,16,15,11,13,1,21,0,
2010,3,23,23,18,14,11,9,9,75,60,44,1017,1014,1013,16,16,13,16,3,26,0,
2010,3,24,24,18,13,12,11,9,86,65,44,1020,1018,1016,16,14,8,14,2,26,0,
2010,3,25,19,16,13,11,9,7,86,69,52,1020,1019,1017,16,14,6,14,3,26,0,
2010,3,26,23,17,12,9,6,-6,77,48,18,1020,1017,1016,16,16,14,16,4,27,0,
2010,3,27,28,20,12,7,3,-5,71,41,11,1021,1019,1017,16,16,16,14,1,24,0,
2010,3,28,29,22,14,3,-4,-11,37,22,7,1022,1020,1018,16,16,16,16,4,27,0,
2010,3,29,27,21,14,12,4,-2,80,48,15,1018,1014,1011,16,16,16,14,2,23,0,
2010,3,30,20,17,14,12,11,8,86,70,53,1015,1013,1012,16,16,13,14,4,27,0,
2010,3,31,19,16,12,9,7,2,72,53,34,1013,1012,1010,16,16,13,16,3,34,0,
2010,4,1,18,14,10,8,4,3,77,58,39,1017,1015,1012,16,16,16,19,4,32,T,Rain
2010,4,2,21,16,11,9,6,4,77,57,37,1020,1018,1016,16,16,16,19,4,27,0,
2010,4,3,21,17,12,9,8,5,77,61,45,1016,1015,1012,16,16,16,19,3,29,0,
2010,4,4,18,15,12,9,7,6,83,66,48,1016,1015,1013,16,16,10,14,4,26,0.76,Rain
2010,4,5,18,15,12,12,9,0,89,63,36,1019,1015,1013,16,10,1,21,7,42,14.48,"Fog , Rain"
2010,4,6,22,16,9,7,4,1,80,53,25,1022,1020,1018,16,16,16,16,2,26,0,
2010,4,7,28,19,11,8,3,-3,66,40,14,1020,1017,1015,16,16,16,14,3,26,0,
2010,4,8,29,22,14,11,2,-4,72,42,12,1015,1012,1010,16,16,14,14,3,27,0,
2010,4,9,24,19,14,12,11,8,80,58,36,1014,1011,1010,16,15,11,13,3,23,0,
2010,4,10,19,17,14,8,7,6,67,58,48,1017,1015,1013,16,16,16,11,1,24,0,
2010,4,11,18,15,12,12,8,6,86,67,48,1019,1016,1013,16,13,2,19,7,27,18.29,Rain
2010,4,12,18,15,11,12,9,5,93,69,44,1015,1014,1012,16,12,1,23,5,35,4.83,Rain
2010,4,13,19,15,10,9,7,4,74,56,37,1016,1015,1014,16,16,16,16,2,26,0,
2010,4,14,21,16,11,10,8,7,77,61,44,1016,1015,1014,16,16,13,16,2,29,0,
2010,4,15,23,17,12,11,9,7,83,62,40,1017,1016,1014,16,16,13,14,3,24,0,
2010,4,16,22,17,12,11,10,8,86,65,44,1018,1017,1015,16,15,11,16,3,26,0,
2010,4,17,24,19,13,12,10,8,83,61,38,1015,1013,1012,16,16,11,14,2,24,0,
2010,4,18,24,19,13,12,12,9,86,64,41,1014,1013,1011,16,10,1,16,3,29,0,
2010,4,19,23,19,14,12,11,9,80,65,49,1015,1014,1012,16,14,10,16,3,26,0,
2010,4,20,20,16,11,14,12,5,87,68,49,1015,1013,1011,16,12,1,21,4,39,2.79,Rain
2010,4,21,17,13,9,7,4,3,71,57,43,1013,1009,1006,16,16,16,24,6,45,T,
2010,4,22,16,13,9,6,4,3,71,57,42,1012,1008,1006,16,16,16,16,2,26,T,
2010,4,23,21,15,9,11,7,4,80,59,37,1019,1015,1012,16,16,14,19,2,27,0,
2010,4,24,21,17,13,11,9,8,83,65,47,1020,1019,1017,16,14,10,14,2,26,0,
2010,4,25,24,18,12,12,11,10,93,70,46,1018,1016,1014,16,10,4,14,2,23,0,
2010,4,26,23,18,13,12,12,11,93,75,57,1015,1013,1011,16,7,2,16,3,24,0,
2010,4,27,19,17,14,13,11,10,84,74,63,1016,1015,1013,16,11,6,13,2,24,0.25,
2010,4,28,19,17,14,14,11,6,90,67,44,1015,1014,1012,16,13,3,21,5,34,0.51,Rain
2010,4,29,21,17,13,7,-1,-5,62,40,18,1015,1012,1010,16,16,16,29,12,58,0,
2010,4,30,24,18,13,4,0,-5,43,29,15,1013,1012,1009,16,15,2,23,6,42,0,
2010,5,1,23,18,13,11,8,6,72,54,35,1014,1012,1010,16,16,14,21,4,29,0,
2010,5,2,23,19,15,11,10,9,72,58,44,1018,1014,1011,16,16,16,16,5,27,0,
2010,5,3,27,21,14,13,11,9,80,58,36,1022,1021,1018,16,16,13,13,2,21,0,
2010,5,4,26,20,14,13,12,10,86,62,37,1020,1016,1013,16,15,11,11,2,19,0,
2010,5,5,23,19,15,13,12,9,87,68,49,1014,1013,1012,16,13,5,14,2,21,0,
2010,5,6,24,19,14,12,10,8,78,61,44,1014,1013,1012,16,14,8,16,2,26,0,
2010,5,7,26,21,14,12,9,6,80,56,31,1014,1013,1012,16,16,13,14,2,23,0,
2010,5,8,25,20,15,12,9,8,75,56,36,1014,1013,1012,16,16,14,14,3,24,0,
2010,5,9,20,17,14,11,9,8,80,64,48,1017,1015,1014,16,16,16,21,3,32,0,
2010,5,10,21,17,13,9,8,7,77,61,45,1020,1018,1016,16,16,16,16,5,27,0,
2010,5,11,21,16,12,9,5,-1,72,48,24,1017,1016,1015,16,16,16,21,5,39,0,
2010,5,12,23,18,13,11,8,7,77,56,35,1016,1014,1013,16,16,16,16,2,26,0,
2010,5,13,24,19,14,12,10,8,75,57,38,1014,1012,1011,16,16,14,16,2,26,0,
2010,5,14,23,19,14,12,11,11,80,65,49,1015,1014,1013,16,13,10,13,3,23,0,
2010,5,15,23,19,14,12,12,11,80,67,53,1015,1014,1013,16,9,4,14,2,24,0,
2010,5,16,23,19,14,13,12,11,86,72,57,1015,1013,1012,14,10,5,14,3,26,0,
2010,5,17,18,16,14,12,12,10,86,75,63,1017,1015,1013,16,11,4,11,1,19,T,Rain
2010,5,18,21,17,14,13,12,10,87,72,57,1019,1017,1016,16,11,2,14,3,23,0.76,Rain
2010,5,19,23,19,15,13,12,12,87,70,53,1017,1016,1014,16,11,6,16,2,27,0,
2010,5,20,26,21,15,14,12,10,84,65,46,1014,1012,1009,16,13,6,14,2,23,0,
2010,5,21,23,19,15,13,11,7,78,59,40,1012,1011,1010,16,14,11,21,4,39,0,
2010,5,22,22,18,13,9,7,4,72,53,33,1013,1011,1010,16,16,16,14,3,29,0,
2010,5,23,19,17,13,8,6,1,67,49,31,1015,1011,1009,16,16,16,24,7,40,0,
2010,5,24,21,17,13,9,8,6,72,58,44,1018,1016,1015,16,16,16,21,5,29,0,
2010,5,25,22,17,12,11,9,7,80,61,42,1016,1015,1014,16,16,16,19,4,29,0,
2010,5,26,22,18,14,12,11,11,86,70,53,1015,1015,1014,16,16,11,19,3,32,0,
2010,5,27,21,18,14,13,11,7,84,66,47,1016,1015,1014,16,13,3,13,2,23,0.51,Rain
2010,5,28,22,18,13,10,8,4,77,54,31,1016,1015,1014,16,16,16,21,3,34,0,
2010,5,29,27,21,14,12,8,5,67,46,25,1014,1012,1010,16,16,11,16,3,26,0,
2010,5,30,29,22,16,14,12,10,78,56,33,1013,1012,1011,16,16,13,14,3,23,0,
2010,5,31,26,21,16,13,12,12,78,60,42,1015,1014,1013,16,16,13,14,3,-,0,
2010,6,1,24,20,16,12,12,11,78,64,49,1016,1015,1014,16,16,13,16,2,27,0,
2010,6,2,24,20,16,13,12,11,72,61,49,1015,1014,1013,16,15,11,14,3,24,0,
2010,6,3,25,21,16,14,13,12,84,69,54,1014,1013,1011,16,9,4,14,2,23,0,
2010,6,4,25,21,17,15,14,13,84,69,54,1013,1012,1010,16,9,5,11,1,19,0,
2010,6,5,27,23,18,16,15,14,78,65,51,1014,1013,1012,13,7,4,11,2,21,0,
2010,6,6,27,23,18,16,15,14,84,69,54,1015,1014,1013,16,10,5,16,2,23,0,
2010,6,7,25,22,18,16,15,14,84,72,60,1015,1014,1012,16,11,5,13,2,24,0,
2010,6,8,23,21,18,15,14,14,84,71,57,1015,1014,1013,16,14,10,13,2,26,0,
2010,6,9,24,21,18,14,14,13,78,66,53,1016,1014,1013,16,15,13,16,3,24,0,
2010,6,10,24,21,18,14,13,12,78,66,53,1014,1012,1010,16,16,14,14,3,24,0,
2010,6,11,23,21,17,13,12,12,73,63,53,1012,1011,1010,16,16,13,14,3,24,0,
2010,6,12,24,21,17,13,13,12,78,64,50,1017,1013,1011,16,15,13,14,3,23,0,
2010,6,13,24,21,17,14,13,13,84,71,57,1018,1016,1015,16,14,8,14,3,24,0,
2010,6,14,26,21,16,16,14,13,90,71,52,1016,1014,1011,16,10,3,16,3,26,0,
2010,6,15,27,22,17,15,14,13,84,66,48,1012,1011,1009,16,12,8,13,2,23,0,
2010,6,16,26,22,17,13,12,11,78,61,43,1014,1012,1011,16,15,11,14,3,26,0,
2010,6,17,26,21,16,14,13,12,84,65,46,1014,1012,1011,16,12,8,14,3,24,0,
2010,6,18,26,21,17,14,13,12,84,67,50,1015,1013,1012,16,13,6,16,3,24,0,
2010,6,19,26,21,16,13,12,11,78,62,46,1017,1016,1014,16,16,13,13,3,23,0,
2010,6,20,26,21,16,14,12,11,78,60,42,1016,1014,1013,16,16,16,16,2,26,0,
2010,6,21,24,20,16,13,12,11,78,66,53,1015,1015,1013,16,15,10,16,3,26,0,
2010,6,22,26,21,17,13,13,12,78,63,47,1017,1016,1014,16,13,8,14,3,26,0,
2010,6,23,26,21,16,14,13,12,84,65,46,1017,1015,1013,16,13,5,13,2,23,0,
2010,6,24,27,21,17,14,13,13,82,69,47,1015,1014,1012,16,12,5,10,2,-,0,
2010,6,25,26,22,17,15,14,13,78,63,48,1014,1013,1012,16,12,6,13,3,24,0,
2010,6,26,24,21,18,14,13,13,78,68,57,1014,1013,1011,16,16,13,14,4,24,0,
2010,6,27,26,22,18,15,14,13,78,65,52,1011,1010,1008,16,12,8,14,1,27,0,
2010,6,28,26,22,18,15,14,14,78,66,54,1011,1010,1009,16,12,6,16,2,23,0,
2010,6,29,23,20,17,15,14,14,78,70,61,1012,1011,1010,16,13,6,13,2,23,0,
2010,6,30,24,21,17,16,15,14,84,71,58,1012,1011,1010,16,13,8,14,3,26,0,
2010,7,1,25,21,17,16,14,12,84,69,54,1011,1010,1008,16,9,3,14,3,21,0,
2010,7,2,25,21,17,15,14,13,78,64,50,1009,1008,1007,16,13,8,13,3,26,0,
2010,7,3,25,22,18,14,13,13,78,64,50,1011,1010,1008,16,16,13,16,2,24,0,
2010,7,4,25,21,17,14,13,12,78,62,46,1015,1013,1011,16,15,6,14,4,24,0,
2010,7,5,24,21,17,14,14,13,78,68,57,1015,1014,1013,16,14,10,13,2,23,0,
2010,7,6,22,19,17,14,14,13,84,71,57,1014,1013,1011,16,12,6,13,3,21,0,
2010,7,7,22,19,17,13,13,13,78,70,61,1013,1012,1011,16,14,4,16,2,24,0,
2010,7,8,21,19,17,14,13,13,78,70,61,1014,1013,1012,16,15,8,13,2,23,0,
2010,7,9,23,20,17,14,14,13,78,68,57,1014,1012,1011,16,11,5,13,2,23,0,
2010,7,10,27,23,18,16,14,14,78,67,56,1014,1013,1012,16,9,4,13,2,21,T,
2010,7,11,26,22,18,16,15,14,78,66,54,1014,1013,1012,16,12,6,13,2,21,0,
2010,7,12,24,21,18,15,14,13,78,68,57,1014,1014,1012,16,14,8,14,3,29,0,
2010,7,13,30,24,18,16,13,12,73,56,39,1013,1011,1009,16,16,13,16,3,29,0,
2010,7,14,34,27,19,15,14,12,68,50,32,1012,1010,1009,16,16,16,16,2,26,0,
2010,7,15,33,28,22,16,14,13,66,51,36,1013,1011,1010,16,16,16,13,2,23,0,
2010,7,16,35,28,21,17,15,14,68,51,33,1013,1012,1011,16,15,4,14,2,23,T,Rain
2010,7,17,32,27,21,17,15,13,73,55,36,1013,1012,1011,16,15,11,11,2,21,0,
2010,7,18,31,26,20,17,16,15,73,58,43,1013,1012,1010,16,16,13,11,2,21,0,
2010,7,19,30,25,20,17,16,16,73,60,47,1013,1012,1010,16,14,11,14,2,24,0,
2010,7,20,27,23,18,16,16,14,78,66,54,1012,1011,1010,16,13,8,13,2,23,0,
2010,7,21,26,22,19,16,15,14,73,65,56,1012,1011,1010,16,14,10,14,2,23,0,
2010,7,22,25,22,19,16,15,14,78,66,54,1013,1012,1011,16,13,8,13,2,21,0,
2010,7,23,25,21,17,15,14,13,78,66,54,1014,1013,1012,16,13,8,14,3,23,0,
2010,7,24,26,21,17,14,14,13,84,67,50,1013,1012,1011,16,14,10,14,3,24,0,
2010,7,25,26,22,18,15,14,13,78,64,50,1013,1012,1011,16,14,10,14,3,23,0,
2010,7,26,24,21,17,14,13,13,78,66,54,1013,1012,1010,16,13,6,13,2,26,0,
2010,7,27,23,20,17,14,13,12,78,68,57,1014,1013,1012,16,14,8,14,2,23,0,
2010,7,28,24,21,17,13,12,11,78,64,49,1016,1015,1014,16,16,16,14,3,26,0,
2010,7,29,26,21,16,13,13,12,78,63,47,1016,1015,1014,16,16,13,14,3,24,0,
2010,7,30,24,21,17,14,13,13,78,66,53,1015,1014,1013,16,14,10,14,2,24,0,
2010,7,31,27,22,17,15,14,13,84,66,48,1015,1014,1012,16,10,5,14,1,23,0,
2010,8,1,26,21,16,14,14,13,84,66,48,1014,1013,1012,16,10,5,13,2,21,0,
2010,8,2,27,21,15,14,13,12,90,68,46,1015,1014,1013,16,7,1,13,2,21,0,Fog
2010,8,3,29,23,16,14,14,13,78,60,42,1015,1014,1012,16,13,3,14,1,21,0,
2010,8,4,27,22,17,14,14,13,84,66,48,1015,1013,1012,16,9,4,13,3,21,0,
2010,8,5,27,22,17,14,14,13,84,66,48,1013,1011,1009,16,9,4,14,3,23,0,
2010,8,6,27,22,17,14,13,13,78,63,48,1012,1011,1010,16,10,4,14,3,21,0,
2010,8,7,26,22,17,13,13,13,73,59,45,1013,1011,1010,16,11,5,14,2,24,0,
2010,8,8,26,22,17,13,13,12,73,60,47,1014,1013,1012,16,15,10,16,2,24,0,
2010,8,9,25,21,17,14,13,13,78,64,50,1013,1012,1011,16,12,6,14,2,26,0,
2010,8,10,26,22,17,14,13,13,78,63,47,1014,1013,1012,16,12,5,14,3,24,0,
2010,8,11,26,22,17,13,13,13,78,63,47,1015,1013,1012,16,13,6,14,3,23,0,
2010,8,12,26,21,16,14,13,12,78,64,50,1013,1012,1009,16,13,6,13,2,23,0,
2010,8,13,26,21,17,14,13,13,84,67,50,1011,1010,1009,16,13,6,16,2,23,0,
2010,8,14,27,22,16,14,13,13,84,66,48,1012,1011,1010,16,15,11,14,3,23,0,
2010,8,15,27,22,16,14,13,13,84,65,45,1013,1011,1009,16,14,5,13,2,23,0,
2010,8,16,28,23,17,16,14,13,84,63,42,1012,1010,1009,16,16,10,11,2,19,0,
2010,8,17,34,27,21,16,13,8,66,49,32,1013,1011,1010,16,16,13,13,1,21,0,
2010,8,18,34,28,22,15,12,9,61,43,24,1013,1012,1011,16,16,16,13,3,23,0,
2010,8,19,32,26,19,16,13,10,68,47,26,1011,1010,1008,16,16,14,14,2,21,0,
2010,8,20,31,25,18,15,13,12,73,55,37,1009,1008,1007,16,16,14,13,3,23,0,
2010,8,21,30,24,18,14,13,9,73,54,35,1011,1010,1009,16,16,16,14,2,23,0,
2010,8,22,33,26,19,14,12,9,68,46,24,1013,1011,1010,16,16,16,13,1,23,0,
2010,8,23,37,28,18,14,12,8,73,46,18,1012,1011,1009,16,15,11,0,0,-,0,
2010,8,24,34,28,22,14,13,10,61,43,24,1011,1009,1008,16,16,16,13,3,23,0,
2010,8,25,32,27,21,16,14,12,73,52,31,1011,1010,1009,16,16,11,11,1,21,0,
2010,8,26,31,25,19,16,14,13,70,55,40,1011,1010,1009,16,16,11,13,1,21,0,
2010,8,27,28,23,18,15,14,14,78,62,46,1010,1010,1008,16,14,8,8,2,-,0,
2010,8,28,31,25,19,13,12,10,68,57,46,1010,1009,1007,16,16,16,8,2,11,0,
2010,8,29,23,21,18,12,11,9,67,60,53,1010,1010,1009,16,16,16,0,0,-,0,
2010,8,30,26,21,17,13,13,11,73,59,45,1013,1012,1012,16,16,16,8,4,-,0,
2010,8,31,28,22,17,14,12,11,73,56,39,1014,1013,1011,16,16,13,13,2,21,0,
2010,9,1,28,22,16,14,13,13,84,62,40,1013,1011,1009,16,10,2,14,3,21,0,
2010,9,2,29,23,16,15,14,13,84,61,37,1013,1011,1010,16,8,1,14,2,21,0,Fog
2010,9,3,28,22,16,14,13,12,90,65,39,1014,1012,1010,16,7,1,11,2,16,0,
2010,9,4,32,25,17,14,13,12,78,54,29,1012,1010,1008,16,15,11,14,2,23,0,
2010,9,5,30,23,17,15,14,13,84,69,41,1009,1008,1006,16,11,1,8,0,-,0,
2010,9,6,27,23,19,14,14,13,73,61,48,1010,1008,1007,16,15,10,14,2,23,0,
2010,9,7,23,21,19,15,14,14,73,65,57,1012,1011,1009,16,16,14,11,1,19,0,
2010,9,8,23,21,19,14,13,12,73,63,53,1013,1012,1011,16,16,14,13,4,21,0,
2010,9,9,26,22,17,13,13,11,78,59,40,1014,1013,1012,16,16,8,14,2,26,0,
2010,9,10,26,21,16,14,13,12,78,62,46,1015,1014,1013,16,16,16,14,3,26,0,
2010,9,11,23,19,16,14,13,13,84,69,53,1016,1015,1013,16,10,1,13,3,21,0,
2010,9,12,25,21,16,14,13,13,84,67,50,1016,1015,1013,16,9,3,13,1,21,0,
2010,9,13,27,22,16,14,13,12,84,62,39,1014,1013,1012,16,13,8,8,1,-,0,
2010,9,14,28,23,17,12,11,7,72,49,26,1015,1014,1013,16,16,16,11,3,-,0,
2010,9,15,27,22,16,13,12,9,78,57,35,1016,1014,1012,16,11,2,14,2,23,0,
2010,9,16,26,21,15,14,13,12,84,66,47,1014,1012,1010,16,12,0,13,2,21,0,
2010,9,17,26,21,15,14,13,12,84,67,50,1013,1012,1011,16,6,1,13,2,21,0,
2010,9,18,27,22,16,14,13,13,84,65,45,1014,1012,1011,16,6,1,13,1,21,0,
2010,9,19,27,21,14,14,13,12,86,66,45,1012,1011,1008,16,9,0,14,2,23,0,Fog
2010,9,20,27,22,17,16,14,13,84,69,54,1008,1007,1005,16,14,8,13,1,21,0,
2010,9,21,22,20,18,15,14,13,84,73,61,1009,1008,1006,16,11,5,11,2,19,0,
2010,9,22,24,21,17,13,12,9,73,60,46,1010,1008,1007,16,16,14,13,2,24,0,
2010,9,23,28,22,16,13,12,10,72,53,34,1013,1011,1010,16,16,13,14,2,24,0,
2010,9,24,34,26,17,15,13,11,78,52,26,1014,1013,1012,16,16,16,13,2,21,0,
2010,9,25,37,28,19,15,12,8,73,46,18,1014,1011,1009,16,16,14,13,1,19,0,
2010,9,26,41,31,20,14,11,6,68,41,13,1010,1008,1006,16,16,14,13,1,23,0,
2010,9,27,45,35,25,14,9,7,48,28,10,1008,1007,1005,16,16,16,6,1,-,0,
2010,9,28,37,32,26,16,14,12,48,36,24,1011,1009,1008,16,16,14,11,3,19,0,
2010,9,29,33,28,22,17,14,11,68,48,27,1010,1008,1006,16,16,13,13,1,23,T,
2010,9,30,34,28,21,17,16,13,78,54,30,1011,1009,1007,16,15,10,13,1,24,0,
2010,10,1,32,28,22,18,16,12,73,58,43,1014,1012,1010,16,15,10,13,2,21,0,
2010,10,2,32,26,20,17,16,13,73,58,43,1015,1014,1012,16,16,13,13,1,19,0,
2010,10,3,27,23,19,17,16,15,81,70,58,1016,1014,1013,16,11,4,14,2,23,0,
